ArrestNumber,ArresteeID,ArrestYr
19-030673,101607319,2019
19-030673,102278677,2019
21-026193,102417075,2021
21-026200,102433290,2021
19-022039,102337797,2019
19-009976,101434037,2019
21-026270,101281739,2021
21-025434,101434037,2021
19-001472,101281739,2019
21-017723,101434037,2021
21-026149,101281739,2021
21-026149,102695612,2021
20-028341,102316754,2020
20-028341,102416139,2020
20-023721,102438663,2020
20-023721,102135817,2020
21-026353,102422504,2021
21-026097,102418934,2021
20-018290,102347169,2020
20-035181,101014786,2020
20-035243,102109338,2020
20-025360,102445561,2020
21-026360,102431732,2021
21-026276,102467114,2021
21-026374,102224328,2021
21-026214,102549966,2021
20-029279,102438663,2020
21-025364,102135817,2021
21-026265,102422504,2021
21-026233,102418934,2021
21-026062,102347169,2021
20-024906,101014786,2020
20-024906,102109338,2020
20-007408,102445561,2020
20-007408,102431732,2020
19-006318,102467114,2019
19-006318,102224328,2019
19-002700,102549966,2019
19-002700,102438663,2019
19-028182,102135817,2019
21-026367,102422504,2021
19-005734,102418934,2019
21-021915,102347169,2021
21-021915,101014786,2021
21-003731,102109338,2021
21-003731,102445561,2021
19-007311,102431732,2019
20-035430,102467114,2020
21-026156,102224328,2021
20-014645,102549966,2020
21-026289,102438663,2021
19-043193,102135817,2019
21-026274,102422504,2021
19-044033,102418934,2019
20-010279,102347169,2020
21-026139,101014786,2021
21-026319,102109338,2021
20-010057,102445561,2020
20-009061,102431732,2020
21-026239,102467114,2021
21-026257,102224328,2021
21-026280,102549966,2021
19-035615,102438663,2019
21-026196,102135817,2021
21-026224,102422504,2021
21-026124,102418934,2021
20-017770,102347169,2020
20-035217,101014786,2020
19-016251,102109338,2019
21-025824,102445561,2021
21-025824,102431732,2021
21-023072,102467114,2021
21-023072,102224328,2021
19-021819,102549966,2019
21-026258,102438663,2021
21-026204,102135817,2021
21-026032,102422504,2021
21-026304,102418934,2021
21-026160,102347169,2021
18-005453,101014786,2018
21-026235,102109338,2021
20-029338,102445561,2020
20-010237,102431732,2020
20-010237,102467114,2020
20-006041,102224328,2020
20-006041,102549966,2020
21-026390,102438663,2021
19-014095,102135817,2019
19-009492,102422504,2019
21-026191,102418934,2021
20-017523,102347169,2020
21-026202,101014786,2021
20-025333,102109338,2020
20-017285,102445561,2020
21-026317,102431732,2021
21-026050,102467114,2021
21-026252,102224328,2021
21-026210,102549966,2021
21-026269,102438663,2021
21-025977,102135817,2021
21-026443,102422504,2021
21-026209,102418934,2021
21-026329,102347169,2021
21-023304,101014786,2021
20-015967,102109338,2020
20-020265,102445561,2020
20-020265,102431732,2020
20-018481,102467114,2020
20-018481,102224328,2020
20-027004,102549966,2020
21-021894,102438663,2021
19-035277,102135817,2019
20-029307,102422504,2020
21-026519,102418934,2021
20-017065,102347169,2020
20-007627,101014786,2020
19-039751,102109338,2019
21-018650,102445561,2021
20-007348,102431732,2020
20-026473,102467114,2020
21-020231,102224328,2021
21-026476,102549966,2021
21-025949,102438663,2021
20-022003,102135817,2020
21-024944,102422504,2021
19-020452,102418934,2019
19-037368,102347169,2019
21-024792,101014786,2021
19-042352,102109338,2019
20-022982,102445561,2020
20-022310,102431732,2020
21-018848,102467114,2021
21-026449,102224328,2021
20-018917,102549966,2020
20-026882,102438663,2020
20-026882,102135817,2020
20-026153,102422504,2020
20-026153,102418934,2020
21-026507,102347169,2021
19-035835,101014786,2019
20-029284,102109338,2020
20-014523,102445561,2020
20-025293,102431732,2020
20-025293,102467114,2020
20-025293,102224328,2020
20-025293,102549966,2020
20-025293,102438663,2020
20-025283,102135817,2020
20-025283,102422504,2020
20-025283,102418934,2020
20-025283,102347169,2020
20-025283,101014786,2020
20-017016,102109338,2020
20-017016,102445561,2020
20-017016,102431732,2020
20-017016,102467114,2020
20-017016,102224328,2020
20-013474,102549966,2020
20-013474,102438663,2020
20-013474,102135817,2020
20-013474,102422504,2020
20-013474,102418934,2020
